명칭,주소,위도,경도,문의 및 안내
무심정,부산광역시 금정구 북문로 23,35.2519647913,129.0559394308,051-517-3352
해운대해물칼국수,부산광역시 기장군 해맞이로 270 솔밭횟집1층,35.3220664245,129.2677801572,051-728-4552
기픈골황토마루,부산광역시 기장군 병산1길 74-39,35.3423072087,129.1933027466,051-728-6320
쿼피집,부산광역시 사상구 사상로356번길 16 성원산업,35.1762664211,128.9855365256,0507-1493-5597
해운대하얀오징어집,부산광역시 해운대구 달맞이길50번길 4,35.1611742976,129.1700125548,051-741-4557
나가하마만게츠,부산광역시 해운대구 우동1로 57대영빌딩1층,35.1667289995,129.1574801581,051-731-0886
캥거루포인트,부산광역시 해운대구 마린시티3로 51 더샵해운대아델리스111호,35.154407938,129.1456981882,051-744-5009
오반장,부산광역시 해운대구 구남로24번길 20,35.1614851749,129.1592634811,051-747-8085
솔내음한정식,부산광역시 해운대구 달맞이길117번길 17-11 이조빌딩,35.1586246757,129.1750177459,051-746-8818
스노잉클라우드,부산광역시 해운대구 달맞이길117번가길 120-306층,35.1573082804,129.1816866465,051-747-8253
사마정,부산광역시 해운대구 마린시티3로 46 우신골든메르시아204호,35.1551411828,129.1453481989,055-747-7781
시소,부산광역시 강서구 신호산단4로64번길 8,35.0850996898,128.8796759994,0507-1418-8923
구로마쯔,부산광역시 해운대구 송정광어골로 673층,35.1754704109,129.1964904151,051-704-7792
영남돼지,부산광역시 해운대구 해운대해변로209번가길 13 누룽지그랜드점,35.1600435987,129.1554444083,051-747-4228
이레옥,부산광역시 해운대구 마린시티3로 51 더샵해운대아델리스,35.154407938,129.1456981882,051-742-6421
정대만,부산광역시 남구  용소로21번길 (45-1),35.1358564541,129.1033829316,070-4159-6233
듀코비다이너,부산광역시 부산진구  전포대로199번길 (9),35.1543758891,129.0647385637,051-512-6660
광명집,"부산광역시 남구  신선로 (458, (유)세소)",35.1256714383,129.1009639763,051-621-4376
백설대학,부산광역시 영도구  웃서발로 (74),35.0790260878,129.0700707139,051-404-5039
태화육개장,부산광역시 부산진구 서면문화로 18,35.1592557554,129.0570057697,051-802-5995
다나휴스,부산광역시 해운대구 달맞이길117번가길 120-12 명당,35.1570332917,129.1806478549,070-7311-2016
경주집,부산광역시 금정구 하마2길 6 경주집,35.2790038172,129.0771062874,051-508-4265
송정해녀집,부산광역시 기장군 공수해안길 57-2,35.1860500946,129.2133497693,051-724-3055
국이네 낙지볶음,부산광역시 수영구 연수로 410,35.1680335998,129.1138311412,051-754-7776
만서리이가네막국수,부산광역시 금정구 식물원로 27,35.2244517473,129.0850570958,051-517-2226
옥이네밀면칼국수,부산광역시 수영구 민락로 13(민락동),35.1565322702,129.1224668168,0507-1310-7568
만디,부산광역시 동래구 충렬대로 1771층,35.2040233777,129.0794664766,0507-1338-2742
미락슈퍼,부산광역시 수영구 민락본동로31번길 46,35.1589598414,129.1259914433,0507-1371-3318
남천녹차팥빙수,부산광역시 수영구 수영로394번길 28,35.1407282287,129.1086712269,051-625-5544
태종대짬뽕,부산광역시 영도구 태종로 825,35.0629503196,129.0815534878,051-405-2992
돌솥밥집,부산광역시 중구 광복로37번길 7-1,35.100022984,129.0290903707,051-246-3888
예이제 한정식,부산광역시 해운대구 해운대해변로298번길 29,35.1609798175,129.1668989422,051-731-1100
부산족발,부산광역시 중구 광복로 13-1,35.0996285387,129.0266739258,051-245-5359
까미노블랑코,부산광역시 부산진구 동천로95번길 11,35.1571144137,129.061619316,0507-1400-5936
젬스톤,부산광역시 영도구 대교로6번길 33,35.0945988801,129.044800264,0507-1444-1206
그랜드애플,부산광역시 해운대구 센텀1로 25,35.1664785554,129.1320129356,051-743-3331
젠스시,부산광역시 해운대구 대천로42번길 28-5,35.1708399093,129.1714677185,051-746-7456
수변최고돼지국밥,부산광역시 수영구 광안해변로370번길 9-32,35.1567852389,129.1343130018,051-754-9222
전골(그집),부산광역시 사상구 가야대로 268-15(주례동),35.1495336101,129.0021135902,051-323-7988
그랜드 애플,부산광역시 해운대구 센텀1로 25(우동),35.1664480043,129.1320795973,051-743-3331
미청식당,부산광역시 기장군 일광면 기장해안로 1303,35.2603115904,129.2331904364,051-721-7050
바릇식당,부산광역시 기장군 일광면 문오성길 61,35.2828401074,129.2592819866,070-8845-7277
가가와,부산광역시 부산진구  중앙번영로 (6),35.1448074253,129.0598281416,051-634-5303
딤타오,부산광역시 해운대구 우동1로 25,35.1639765115,129.1564858763,051-741-3638
더가마,부산광역시 기장군 당사로5길 6,35.1860222507,129.209600096,051-746-6181
스스키노 전포점,부산광역시 부산진구 서전로38번길 7-1,35.1574533108,129.0641163111,0507-1368-9777
스시미르네,부산광역시 해운대구 세실로 75 일진빌딩,35.1713288423,129.1767977973,051-703-5623
퍼프베이커리,부산광역시 부산진구 동천로 56,35.1536259364,129.0627498685,051-912-5757
무명일기,부산광역시 영도구 봉래나루로 178,35.0964819793,129.0435169912,070-7347-8069
연어바치,부산광역시 남구 용소로21번길 711층 연어바치,35.1363897422,129.1041384067,010-3534-9901
미포집,부산광역시 해운대구 달맞이길62번길 3,35.1607938119,129.1714679947,"0507-1382-2205<br><a href=""https://www.instagram.com/mipojip/"" target=""_blank"" title=""새창 : 미포집"">www.instagram.com/mipojip</a>"
리버사이드,부산광역시 기장군 일광로 582-44,35.292969535,129.2596622276,051-1426-1855
또시아,부산광역시 영도구 절영로 6,35.0937072312,129.0403590084,0507-1436-3837
아티성블렁제리 빵빵빵,부산광역시 해운대구 우동1410-1,35.1549384163,129.144728813,0507-1357-6666
부센동,부산광역시 수영구 수영로588번길 7 광안 협성엠파이어Ⅱ108호,35.1583902331,129.1136786414,0507-1341-2390
하늘횟집,부산광역시 수영구 민락수변로 125 골든뷰6층 하늘횟집,35.1553020678,129.1341102822,0507-1347-5474
뺑드엘리시안,부산광역시 해운대구 센텀동로 35 센텀에스에이치밸리,35.1725000849,129.1310156347,0507-1388-2622
원조할매복국,부산광역시 해운대구 달맞이길62번길 1,35.1609243536,129.1715207639,051-742-2789
기장집,부산광역시 금정구 공해4길 11,35.2441295442,129.0551730462,051-517-5705
디저트시네마,부산광역시 연제구 쌍미천로 32-1(연산동),35.1763100199,129.0905190532,051-867-5757
